filepath,xmin,xmax,ymin,ymax
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N1.xml,1093,1396,645,727
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N100.xml,134,301,312,350
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N101.xml,31,139,128,161
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N102.xml,164,316,216,243
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N103.xml,813,1067,665,724
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N104.xml,66,154,166,197
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N105.xml,360,434,174,195
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N106.xml,137,262,249,290
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N107.xml,207,356,174,287
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N108.xml,184,342,220,257
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N109.xml,148,239,250,320
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N11.xml,131,187,130,144
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N110.xml,183,249,211,227
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N111.xml,80,239,364,402
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N112.xml,179,347,256,290
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N113.xml,39,108,129,157
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N114.xml,15,200,33,126
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N116.xml,157,316,226,278
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N117.xml,120,249,161,202
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N118.xml,532,852,636,706
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N119.xml,180,559,216,314
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N12.xml,976,1284,669,754
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N120.xml,647,736,332,387
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N121.xml,311,506,324,370
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N122.xml,342,494,243,288
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N123.xml,11,246,78,165
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N124.xml,165,328,276,324
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N126.xml,149,399,269,327
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N127.xml,24,142,209,245
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N128.xml,58,221,198,271
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N129.xml,301,504,351,402
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N130.xml,419,513,173,213
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N131.xml,198,349,107,143
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N132.xml,111,320,133,286
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N133.xml,795,1095,751,840
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N134.xml,230,365,188,219
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N135.xml,157,341,197,247
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N136.xml,787,910,473,513
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N137.xml,401,593,456,493
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N138.xml,36,465,64,168
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N139.xml,341,607,954,1011
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N14.xml,1058,1351,660,756
